                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4094,                 2.9841,                 1.5717,                0.01014,                0.85386,                0.18209,                 0.1136,                  1.349,                 3.1733,                 1.4859,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.3962,                 2.1878,                 1.4487,                0.38518,                0.11591,                0.23613,                0.14281,                  1.427,                 2.8703,                 1.5332,             0.00026936,             0.00026936,             0.00026936
                      3,                 1.3319,                 1.6266,                 1.4258,                0.48909,                0.09544,                0.25242,                0.15125,                 1.4071,                 2.9758,                 1.5716,             0.00039051,             0.00039051,             0.00039051
                      4,                 1.3395,                  1.459,                   1.41,                0.53151,                0.44843,                0.39225,                0.23638,                 1.5409,                 2.7182,                 1.6493,             0.00049681,             0.00049681,             0.00049681
                      5,                 1.2822,                 1.2645,                 1.3733,                0.50809,                0.46376,                0.38739,                 0.2224,                 1.5637,                 2.9338,                 1.6861,             0.00058825,             0.00058825,             0.00058825
                      6,                 1.2928,                 1.1916,                 1.3522,                0.58519,                0.48844,                0.46818,                0.29196,                 1.5313,                 2.2624,                 1.5913,             0.00066484,             0.00066484,             0.00066484
                      7,                 1.2809,                 1.1804,                 1.3693,                 0.6032,                0.57583,                0.50597,                0.31625,                 1.5116,                 2.3916,                 1.5074,             0.00072658,             0.00072658,             0.00072658
                      8,                 1.2592,                 1.1387,                 1.3375,                0.58171,                0.59181,                0.51799,                0.32534,                 1.5308,                 2.1582,                 1.4979,             0.00077346,             0.00077346,             0.00077346
                      9,                 1.1887,                 1.0792,                 1.2954,                0.62857,                0.59838,                0.53709,                0.34725,                 1.4538,                 2.2587,                 1.4494,             0.00080549,             0.00080549,             0.00080549
                     10,                 1.1992,                 1.0361,                 1.3253,                0.62122,                0.60165,                0.53138,                 0.3082,                 1.6283,                 2.1738,                 1.5754,             0.00082267,             0.00082267,             0.00082267
                     11,                 1.1801,                 1.2121,                 1.3117,                0.61165,                0.56135,                0.50198,                0.31842,                 1.5219,                 2.2656,                 1.5215,               0.000825,               0.000825,               0.000825
                     12,                 1.1535,                 1.1837,                 1.2832,                0.61677,                0.65704,                0.56762,                0.34929,                 1.5127,                 1.8207,                 1.5188,             0.00075932,             0.00075932,             0.00075932
                     13,                 1.1414,                 1.0982,                 1.2691,                0.61697,                0.77358,                0.64609,                 0.3858,                 1.4805,                 1.7812,                 1.5409,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.1444,                 1.0483,                 1.2855,                0.63989,                 0.7638,                 0.6434,                0.39202,                 1.4837,                  1.813,                 1.5357,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.1103,                  1.051,                 1.2308,                 0.6388,                0.77406,                0.64309,                0.40287,                  1.442,                 1.7213,                 1.4964,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.0926,                0.97269,                 1.2398,                0.61231,                0.77184,                0.60166,                0.37073,                 1.4887,                 1.7511,                 1.4998,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.0688,                0.96427,                   1.21,                0.64309,                0.74831,                0.59994,                0.37094,                  1.492,                  1.789,                 1.5017,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.0597,                0.91611,                 1.2058,                0.66448,                0.76766,                0.61181,                0.38453,                 1.4582,                 1.7316,                 1.4742,             0.00026422,             0.00026422,             0.00026422
                     19,                  1.036,                0.90196,                 1.1963,                0.65408,                0.76444,                0.61365,                0.38443,                 1.4591,                 1.7227,                 1.4664,              0.0001817,              0.0001817,              0.0001817
                     20,                 1.0349,                0.89009,                 1.1849,                 0.6558,                0.77325,                0.61056,                0.38342,                 1.4402,                 1.6777,                 1.4523,             9.9187e-05,             9.9187e-05,             9.9187e-05
